District Rank Rank
"Allan Hancock Joint 61,619 49 72,832 54"
"Antelope Valley 59,562 57 72,923 53"
"Barstow 59,268 58 71,760 58"
"Butte-Glenn 63,566 39 79,190 32"
"Cabrillo 62,138 47 75,995 40"
"Cerritos 70,084 20 87,142 12"
"Chabot-Las Positas 67,769 24 83,940 19"
"Chaffey 71,496 16 79,822 27"
"Citrus 65,954 27 75,679 42"
"Coast 65,141 31 79,490 30"
"Compton 62,880 44 70,289 61"
"Contra Costa 65,088 32 73,236 52"
"Copper Mountain 53,239 70 65,556 69"
"Desert 72,125 15 88,811 10"
"El Camino 73,328 11 88,318 11"
"Feather River 62,377 45 77,531 35"
"Foothill-De Anza 63,728 38 79,918 26"
"Gavilan Joint 64,109 35 77,013 38"
"Glendale 68,916 22 82,852 22"
"Grossmont-Cuyamaca163,119 41 71,763 57"
"Hartnell 60,546 53 75,591 43"
"Imperial 65,892 29 76,390 39"
"Kern 79,596 3 90,056 6"
"Lake Tahoe 55,966 64 67,762 66"
"Lassen 63,748 37 80,577 24"
"Long Beach 72,539 12 86,110 13"
"Los Angeles 65,250 30 77,870 34"
"Los Rios 53,162 71 64,680 70"
"Marin 72,168 14 83,088 20"
"Mendocino-Lake 61,442 51 75,125 44"
"Merced 55,018 67 67,511 67"
"MiraCosta 80,912 2 102,114 1"
"Monterey Peninsula 61,792 48 75,049 45"
"Mt. San Antonio 71,441 18 85,699 16"
"Mt. San Jacinto 60,088 55 69,658 62"
"Napa Valley 54,769 68 71,243 59"
"North Orange County 76,421 9 86,059 14"
"Ohlone 74,649 10 89,774 8"
"Palo Verde 64,240 34 74,473 46"
"Palomar 69,096 21 84,184 18"
"Pasadena Area 78,009 7 78,009 33"
"Peralta 44,229 72 57,818 72"
"Rancho Santiago 70,685 19 85,838 15Full-Time Faculty at Masters Degree (Step 1)  and Masters Degree +5"
"Redwoods 56,817 63 68,488 64"
"Rio Hondo 66,171 26 82,950 21"
"Riverside 72,351 13 89,630 9"
"San Bernardino 68,843 23 80,974 23"
"San Diego 60,329 54 69,093 63"
"San Francisco 65,900 28 79,250 31"
"San Joaquin Delta 63,372 40 79,714 29"
"San Jose/Evergreen 81,767 1 97,300 3"
"San Luis Obispo County 59,665 56 73,793 50"
"San Mateo County 78,372 5 97,380 2"
"Santa Barbara 63,071 42 74,142 48"
"Santa Clarita 67,368 25 79,800 28"
"Santa Monica 59,133 60 71,799 56"
"Sequoias 71,484 17 84,584 17"
"Shasta-Tehama-Trinity Joint 59,203 59 73,948 49"
"Sierra Joint 56,994 62 72,740 55"
"Siskiyou Joint 55,268 66 64,383 71"
"Solano 57,904 61 70,449 60"
"Sonoma County 78,113 6 90,005 7"
"South Orange County 78,612 4 92,402 4"
"Southwestern 63,776 36 77,174 36"
"State Center 64,849 33 80,513 25"
"Ventura County 53,766 69 67,206 68"
"Victor Valley 55,714 65 68,063 65"
"West Hills 62,203 46 73,703 51"
"West Kern 61,162 52 77,074 37"
"West Valley-Mission 77,622 8 92,192 5"
"Yosemite 62,910 43 75,704 41"
"Yuba 61,595 50 74,445 47"
"• Average (Mean) 65,160 78,300"
"• Highest 81,767 102,114"
"• 3rd quartile 70,874 84,001"
"• Median 63,762 77,124"
"• 1st quartile 60,269 72,809"
"• Lowest 44,229 57,818"
